,latitude,longitude,Nearest City,Country Code,Noon Temp(f),Humidity,Clouds,Wind Speed,Distance From Equator
199,-32.77242401224598,-55.045416377885644,treinta y tres,uy,73.06,74.0,44.0,16.46,32.0
496,-32.28889775796046,-56.02212712918742,tacuarembo,uy,73.24,72.0,48.0,13.78,32.0
424,-32.503674288271135,27.657844816970368,stutterheim,za,78.68,46.0,0.0,5.61,32.0
47,-32.28975886956574,135.51049421872898,flinders,au,62.21,71.0,0.0,7.85,32.0
397,-32.525846059924206,26.10637930383693,adelaide,za,82.91,15.0,0.0,9.31,32.0
252,-32.17248549629471,-63.322244368417046,villa maria,ar,70.4,46.0,64.0,6.96,32.0
387,-32.130330029365496,-81.4811284133552,talcahuano,cl,66.49,100.0,88.0,11.21,32.0
263,-32.85402282237391,118.38240459937849,northam,au,57.35,67.0,20.0,7.18,32.0
393,32.6840541832918,-69.46397449510174,hamilton,bm,62.39,100.0,56.0,22.28,32.0
29,-32.102634719378386,95.26537795864454,geraldton,au,65.77,100.0,0.0,11.54,32.0
451,-32.13372883458289,-58.35600840537096,paysandu,uy,70.13,65.0,68.0,10.98,32.0
379,-32.633313625327226,34.854212152010874,scottsburgh,za,73.46,100.0,0.0,12.21,32.0
171,-32.84524109514357,-61.323196849914254,rosario,ar,71.48,53.0,76.0,5.5,32.0
452,-32.04047453500998,112.82105550525853,mandurah,au,65.99,100.0,0.0,13.0,32.0
415,-32.59312331923136,29.132443251079394,butterworth,za,78.68,63.0,0.0,4.83,32.0
460,-32.7399329712067,-57.8790715302836,young,uy,70.04,72.0,68.0,15.46,32.0
